HS Code (HS 2012),Unnamed: 0,Unnamed: 1,Product-
,Product Description,,
Chapter Heading Subheading,,,Specific Rule
,"halogenated, sulphonated, nitrated or",,
,nitrosated derivatives,,
,- Carboxylic acids with alcohol function but,,
,"without other oxygen function, their",,
,,,
,"anhydrides, halides, peroxides, peroxyacids",,
,and their derivatives,,
,,,CTH or
2918.11,"-- Lactic acid, its salts and esters",,
,,,RVC40
,,,CTSH or
2918.12,-- Tartaric acid,,
,,,RVC40
,,,CTSH or
2918.13,-- Salts and esters of tartaric acid,,
,,,RVC40
,,,CTH or
2918.14,-- Citric acid,,
,,,RVC40
,,,CTH or
2918.15,-- Salts and esters of citric acid,,
,,,RVC40
,,,CTH or
2918.16,"-- Gluconic acid, its salts and esters",,
,,,RVC40
,,,CTH or
2918.18,-- Chlorobenzilate (ISO),,
,,,RVC40
,,,CTH or
2918.19,-- Other,,
,,,RVC40
,- Carboxylic acids with phenol function but,,
,"without other oxygen function, their",,
,,,
,"anhydrides, halides, peroxides, peroxyacids",,
,and their derivatives,,
,,,CTH or
2918.21,-- Salicylic acid and its salts,,
,,,RVC40
,,,CTH or
2918.22,"-- O-Acetylsalicylic acid, its salts and esters",,
,,,RVC40
,,,CTH or
2918.23,-- Other esters of salicylic acid and their salts,,
,,,RVC40
,,,CTH or
2918.29,-- Other,,
,,,RVC40
,- Carboxylic acids with aldehyde or ketone,,
,"function but without other oxygen function,",,CTH or
2918.30,,,
,"their anhydrides, halides, peroxides,",,RVC40
,peroxyacids and their derivatives,,
,- Other,,
,"-- 2,4,5-T (ISO) (2,4,5-",,
,,,CTH or
2918.91,"trichlorophenoxyacetic acid), its salts and",,
,,,RVC40
,esters,,
,,,CTSH or
2918.99,-- Other,,
,,,RVC40
