HS Code (HS 2012),Unnamed: 0,Unnamed: 1,Unnamed: 2,Product-
,,Product Description,,
Chapter Heading Subheading,,,,Specific Rule
,Motor,cars and other motor vehicles,,
,principally,designed for the transport of,,
87.03,,,,RVC40
,"persons (other than those of heading 87.02),",,,
,including station wagons and racing cars,,,
87.04,Motor vehicles for the transport of goods,,,RVC40
,"Special purpose motor vehicles, other than",,,
,those principally designed for the transport of,,,
,"persons or goods (for example, breakdown",,,
87.05,"lorries, crane lorries, fire fighting vehicles,",,,
,"concrete-mixer lorries, road sweeper lorries,",,,
,"spraying lorries, mobile workshops, mobile",,,
,radiological units),,,
,,,,CTH or
8705.10,- Crane lorries,,,
,,,,RVC40
,,,,CTH or
8705.20,- Mobile drilling derricks,,,
,,,,RVC40
8705.30,- Fire fighting vehicles,,,RVC40
8705.40,- Concrete-mixer lorries,,,RVC40
8705.90,- Other,,,RVC40
,"Chassis fitted with engines, for the motor",,,
87.06 8706.00,,,,RVC40
,vehicles of headings 87.01 to 87.05,,,
,Bodies,"(including cabs), for the motor",,
87.07,,,,RVC40
,vehicles of headings 87.01 to 87.05,,,
,Parts and accessories of the motor vehicles,,,CTH or
87.08,,,,
,of headings 87.01 to 87.05,,,RVC40
,"Works trucks, self-propelled, not fitted with",,,
,lifting,"or handling equipment, of the type",,
,"used in factories, warehouses, dock areas or",,,CTH or
87.09,,,,
,airports for short distance transport of goods;,,,RVC40
,tractors of the type used on railway station,,,
,platforms; parts of the foregoing vehicles,,,
,"Tanks and other armoured fighting vehicles,",,,
87.10 8710.00,"motorised,",whether or not fitted with,,RVC40
,"weapons, and parts of such vehicles",,,
,Motorcycles (including mopeds) and cycles,,,
87.11,"fitted with an auxiliary motor, with or without",,,RVC40
,side-cars; side-cars,,,
,Bicycles and other cycles (including delivery,,,CTH or
87.12 8712.00,,,,
,"tricycles), not motorised",,,RVC40
,"Carriages for disabled persons, whether or",,,
,,,,CTH or
87.13,not motorised,or otherwise mechanically,,
,,,,RVC40
,propelled,,,
,Parts,and accessories of vehicles of,,
87.14,,,,
,headings 87.11 to 87.13,,,
