HS Code (HS 2012),Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Product-
,,Product Description,,,
Chapter Heading Subheading,,,,,Specific Rule
,"Coconut,",abaca (Manila hemp or Musa,,,
,"textilis Nee),",ramie and other vegetable,,,
,"textile fibres,",not elsewhere specified or,,,
53.05 5305.00,,,,,CC
,"included, raw or processed but not spun;",,,,
,"tow, noils",and waste of these fibres,,,
,(including yarn waste and garnetted stock),,,,
53.06,Flax yarn,,,,CTH
,Yarn of jute or of other textile bast fibres of,,,,
53.07,,,,,CTH
,heading 53.03,,,,
,Yarn of other vegetable textile fibres; paper,,,,
53.08,,,,,CTH
,yarn,,,,
53.09,Woven fabrics of flax,,,,CTH
,Woven fabrics of jute or of other textile bast,,,,
53.10,,,,,CTH
,fibres of heading 53.03,,,,
,Woven fabrics,of other vegetable textile,,,
53.11 5311.00,,,,,CTH
,fibres; woven fabrics of paper yarn,,,,
,CHAPTER,54: MAN-MADE FILAMENTS;,,,
54,STRIP AND,THE LIKE OF MAN-MADE,,,
,TEXTILE MATERIALS,,,,
,Sewing thread,"of man-made filaments,",,,
54.01,,,,,CC
,whether or not put up for retail sale,,,,
,Synthetic filament yarn (other than sewing,,,,
,"thread), not put up for retail sale, including",,,,
54.02,,,,,CC
,synthetic,monofilament of less than 67,,,
,decitex,,,,
,Artificial filament,yarn (other than sewing,,,
54.03,"thread), not put up for retail sale, including",,,,CC
,artificial monofilament of less than 67 decitex,,,,
,Synthetic,monofilament of 67 decitex or,,,
,more and,of which no cross-sectional,,,
,dimension exceeds 1 mm; strip and the like,,,,
54.04,,,,,CC
,"(for example,",artificial straw) of synthetic,,,
,textile materials of an apparent,width not,,,
,exceeding 5 mm,,,,
,Artificial monofilament of 67 decitex or more,,,,
,and of which no cross-sectional dimension,,,,
,exceeds,1 mm; strip and the like (for,,,
54.05 5405.00,,,,,CC
,"example, artificial straw) of artificial textile",,,,
,materials of an apparent width not exceeding,,,,
,5 mm,,,,
,Man-made filament yarn (other than sewing,,,,
54.06 5406.00,,,,,CC
,"thread), put up for retail sale",,,,
,Woven fabrics,"of synthetic filament yarn,",,,
54.07,including,woven fabrics obtained from,,,CTH
,materials of heading 54.04,,,,
