HS Code (HS 2012),Unnamed: 0,Product-
,Product Description,
Chapter Heading Subheading,,Specific Rule
,Sodium hydroxide (caustic soda); potassium,
28.15,hydroxide (caustic potash); peroxides of,
,sodium or potassium,
,- Sodium hydroxide (caustic soda),
,,CTSH except
,,from
2815.11,-- Solid,subheading
,,"2815.12, or"
,,RVC40
,,CTSH except
,,from
,-- In aqueous solution (soda lye or liquid,
2815.12,,subheading
,soda),
,,"2815.11, or"
,,RVC40
,,CTSH or
2815.20,- Potassium hydroxide (caustic potash),
,,RVC40
,,CTH or
2815.30,- Peroxides of sodium or potassium,
,,RVC40
,Hydroxide and peroxide of magnesium;,
,,CTH or
28.16,"oxides, hydroxides and peroxides, of",
,,RVC40
,strontium or barium,
,,CTH or
28.17 2817.00,Zinc oxide; zinc peroxide,
,,RVC40
,"Artificial corundum, whether or not",
,,CTSH or
28.18,chemically defined; aluminium oxide;,
,,RVC40
,aluminium hydroxide,
,,CTH or
28.19,Chromium oxides and hydroxides,
,,RVC40
,,CTH or
28.20,Manganese oxides,
,,RVC40
,Iron oxides and hydroxides; earth colours,
,,CTSH or
28.21,containing 70 % or more by weight of,
,,RVC40
,combined iron evaluated as Fe2O3,
,Cobalt oxides and hydroxides; commercial,CTH or
28.22 2822.00,,
,cobalt oxides,RVC40
,,CTH or
28.23 2823.00,Titanium oxides,
,,RVC40
,,CTH or
28.24,Lead oxides; red lead and orange lead,
,,RVC40
,Hydrazine and hydroxylamine and their,
,,CTH or
28.25,inorganic salts; other inorganic bases; other,
,,RVC40
,"metal oxides, hydroxides and peroxides",
,"Fluorides; fluorosilicates, fluoroaluminates",
28.26,,
,and other complex fluorine salts,
