HS Code (HS 2012),Unnamed: 0,Unnamed: 1,Product-
,Product Description,,
Chapter Heading Subheading,,,Specific Rule
Leather,further prepared after tanning or,,
"crusting,",including parchment-dressed,,
,,,CTH or
"41.13 leather, of other animals, without wool or hair",,,
,,,RVC40
"on, whether or not split, other than leather of",,,
heading 41.14,,,
Chamois,(including combination chamois),,
,,,CTH or
41.14 leather; patent leather and patent laminated,,,
,,,RVC40
leather; metallised leather,,,
Composition leather with a basis of leather or,,,
leather,"fibre, in slabs, sheets or strip,",,
whether or not in rolls; parings and other,,,CTH or
41.15,,,
"waste of leather or of composition leather,",,,RVC40
not suitable for the manufacture of leather,,,
"articles; leather dust, powder and flour",,,
CHAPTER 42: ARTICLES OF LEATHER;,,,
SADDLERY,AND HARNESS; TRAVEL,,
,,,CC or
"42 GOODS,",HANDBAGS AND SIMILAR,,
,,,RVC40
CONTAINERS;,ARTICLES OF ANIMAL,,
GUT (OTHER THAN SILK-WORM GUT),,,
CHAPTER,43: FURSKINS AND,,
43 ARTIFICIAL,FUR; MANUFACTURES,,
THEREOF,,,
"Raw furskins (including heads, tails, paws",,,
and other,"pieces or cuttings, suitable for",,CC or
43.01,,,
"furriers’ use), other than raw hides and skins",,,RVC40
"of heading 41.01, 41.02 or 41.03",,,
"Tanned or dressed furskins (including heads,",,,
"tails, paws","and other pieces or cuttings),",,
,,,CTH or
"43.02 unassembled,",or assembled (without the,,
,,,RVC40
addition of other materials) other than those,,,
of heading 43.03,,,
"Articles of apparel, clothing accessories and",,,CTH or
43.03,,,
other articles of furskin,,,RVC40
,,,CTH or
43.04 4304.00 Artificial fur and articles thereof,,,
,,,RVC40
SECTION IX,,,
WOOD AND ARTICLES OF WOOD; WOOD CHARCOAL; CORK AND,,,
"ARTICLES OF CORK; MANUFACTURES OF STRAW, OF ESPARTO",,,
OR OF OTHER PLAITING MATERIALS; BASKETWARE AND,,,
WICKERWORK,,,
CHAPTER 44: WOOD AND ARTICLES OF,,,
44,,,
WOOD; WOOD CHARCOAL,,,
"Fuel wood,","in logs, in billets, in twigs, in",,CTH or
44.01,,,
faggots or in similar forms; wood in chips or,,,RVC40
