HS Code (HS 2012),Unnamed: 0,Product-
,Product Description,
Chapter Heading Subheading,,Specific Rule
,"Synthetic organic colouring matter, whether",
,or not chemically defined; preparations as,
,specified in Note 3 to this Chapter based on,
,synthetic organic colouring matter; synthetic,CTSH or
32.04,,
,organic products of a kind used as,RVC40
,fluorescent brightening agents or as,
,"luminophores, whether or not chemically",
,defined,
,Colour lakes; preparations as specified in,CTH or
32.05 3205.00,,
,Note 3 to this Chapter based on colour lakes,RVC40
,Other colouring matter; preparations as,
,"specified in Note 3 to this Chapter, other than",
,"those of heading 32.03, 32.04 or 32.05;",
32.06,,
,inorganic products of a kind used as,
,"luminophores, whether or not chemically",
,defined,
,- Pigments and preparations based on,
,,
,titanium dioxide,
,,CTSH except
,-- Containing 80 % or more by weight of,from
3206.11,titanium dioxide calculated on the dry matter,subheading
,,"3206.19, or"
,,RVC40
,,CTSH except
,,from
3206.19,-- Other,subheading
,,"3206.11, or"
,,RVC40
,- Pigments and preparations based on,CTSH or
3206.20,,
,chromium compounds,RVC40
,- Other colouring matter and other,
,,
,preparations,
,-- Ultramarine and preparations based,CTSH or
3206.41,,
,thereon,RVC40
,-- Lithopone and other pigments and,CTSH or
3206.42,,
,preparations based on zinc sulphide,RVC40
,,CTSH or
3206.49,-- Other,
,,RVC40
,- Inorganic products of a kind used as,CTH or
3206.50,,
,luminophores,RVC40
,"Prepared pigments, prepared opacifiers and",
,"prepared colours, vitrifiable enamels and",
,,CTH or
32.07,"glazes, engobes (slips), liquid lustres and",
,,RVC40
,"similar preparations, of a kind used in the",
,"ceramic, enamelling or glass industry; glass",
