HS Code (HS 2012),Unnamed: 0,Unnamed: 1,Product-
,Product Description,,
Chapter Heading Subheading,,,Specific Rule
,,,CTH or
2905.42,-- Pentaerythritol,,
,,,RVC40
,,,CTH or
2905.43,-- Mannitol,,
,,,RVC40
,,,CTH or
2905.44,-- D-glucitol (sorbitol),,
,,,RVC40
,,,CTSH or
2905.45,-- Glycerol,,
,,,RVC40
,,,CTH or
2905.49,-- Other,,
,,,RVC40
,"- Halogenated, sulphonated, nitrated or",,
,,,
,nitrosated derivatives of acyclic alcohols,,
,,,CTH or
2905.51,-- Ethchlorvynol (INN),,
,,,RVC40
,,,CTH or
2905.59,-- Other,,
,,,RVC40
,"Cyclic alcohols and their halogenated,",,
,,,CTH or
29.06,"sulphonated, nitrated or nitrosated",,
,,,RVC40
,derivatives,,
,,,"CTH,"
29.07,Phenols; phenol-alcohols,,"RVC40, or"
,,,CR
,"Halogenated, sulphonated, nitrated or",,
,,,CTH or
29.08,nitrosated derivatives of phenols or phenol-,,
,,,RVC40
,alcohols,,
,"Ethers, ether-alcohols, ether-phenols, ether-",,
,"alcohol-phenols, alcohol peroxides, ether",,
,,,"CTH,"
,"peroxides, ketone peroxides (whether or not",,
29.09,,,"RVC40, or"
,"chemically defined), and their halogenated,",,
,,,CR
,"sulphonated, nitrated or nitrosated",,
,derivatives,,
,"Epoxides, epoxyalcohols, epoxyphenols and",,
,"epoxyethers, with a three-membered ring,",,
29.10,,,
,"and their halogenated, sulphonated, nitrated",,
,or nitrosated derivatives,,
,,,CTH or
2910.10,- Oxirane (ethylene oxide),,
,,,RVC40
,,,CTH or
2910.20,- Methyloxirane (propylene oxide),,
,,,RVC40
,"- 1-Chloro-2,3-epoxypropane",,CTH or
2910.30,,,
,(epichlorohydrin),,RVC40
,,,CTH or
2910.40,"- Dieldrin (ISO, INN)",,
,,,RVC40
,,,CTSH or
2910.90,- Other,,
,,,RVC40
