HS Code (HS 2012),Unnamed: 0,Product-
,Product Description,
Chapter Heading Subheading,,Specific Rule
,,CC or
4804.31,-- Unbleached,
,,RVC40
,,CC or
4804.39,-- Other,
,,RVC40
,- Other kraft paper and paperboard weighing,
,,
,more than 150 g/m2 but less than 225 g/m2,
,,CC or
4804.41,-- Unbleached,
,,RVC40
,-- Bleached uniformly throughout the mass,
,and of which more than 95 % by weight of,CC or
4804.42,,
,the total fibre content consists of wood fibres,RVC40
,obtained by a chemical process,
,,CC or
4804.49,-- Other,
,,RVC40
,- Other kraft paper and paperboard weighing,
,,
,225 g/m2 or more,
,,CC or
4804.51,-- Unbleached,
,,RVC40
,-- Bleached uniformly throughout the mass,
,and of which more than 95 % by weight of,CC or
4804.52,,
,the total fibre content consists of wood fibres,RVC40
,obtained by a chemical process,
,,CC or
4804.59,-- Other,
,,RVC40
,"Other uncoated paper and paperboard, in",
,"rolls or sheets, not further worked or",CC or
48.05,,
,processed than as specified in Note 3 to this,RVC40
,Chapter,
,"Vegetable parchment, greaseproof papers,",
,tracing papers and glassine and other glazed,CTH or
48.06,,
,"transparent or translucent papers, in rolls or",RVC40
,sheets,
,Composite paper and paperboard (made by,
,sticking flat layers of paper or paperboard,
,,CTH or
48.07 4807.00,"together with an adhesive), not surface-",
,,RVC40
,"coated or impregnated, whether or not",
,"internally reinforced, in rolls or sheets",
,"Paper and paperboard, corrugated (with or",
,"without glued flat surface sheets), creped,",
48.08,"crinkled, embossed or perforated, in rolls or",
,"sheets, other than paper of the kind",
,described in heading 48.03,
,"- Corrugated paper and paperboard, whether",CTH or
4808.10,,
,or not perforated,RVC40
