HS Code (HS 2012),Unnamed: 0,Unnamed: 1,Unnamed: 2,Product-
,,Product Description,,
Chapter Heading Subheading,,,,Specific Rule
,- Fluorides,,,
,,,,CTSH or
2826.12,-- Of aluminium,,,
,,,,RVC40
,,,,CTH or
2826.19,-- Other,,,
,,,,RVC40
,- Sodium,hexafluoroaluminate (synthetic,,CTSH or
2826.30,,,,
,cryolite),,,RVC40
,,,,CTH or
2826.90,- Other,,,
,,,,RVC40
,"Chlorides,",chloride oxides and chloride,,
28.27,hydroxides; bromides and bromide oxides;,,,
,iodides and iodide oxides,,,
,,,,CTH or
2827.10,- Ammonium chloride,,,
,,,,RVC40
,,,,CTH or
2827.20,- Calcium chloride,,,
,,,,RVC40
,- Other chlorides,,,
,,,,CTSH or
2827.31,-- Of magnesium,,,
,,,,RVC40
,,,,CTSH or
2827.32,-- Of aluminium,,,
,,,,RVC40
,,,,CTH or
2827.35,-- Of nickel,,,
,,,,RVC40
,,,,CTSH or
2827.39,-- Other,,,
,,,,RVC40
,- Chloride oxides and chloride hydroxides,,,
,,,,CTH or
2827.41,-- Of copper,,,
,,,,RVC40
,,,,CTH or
2827.49,-- Other,,,
,,,,RVC40
,- Bromides and bromide oxides,,,
,,,,CTH or
2827.51,-- Bromides of sodium or of potassium,,,
,,,,RVC40
,,,,CTSH or
2827.59,-- Other,,,
,,,,RVC40
,,,,CTSH or
2827.60,- Iodides and iodide oxides,,,
,,,,RVC40
,Hypochlorites;,commercial calcium,,CTH or
28.28,,,,
,hypochlorite; chlorites; hypobromites,,,RVC40
,Chlorates and perchlorates; bromates and,,,CTH or
28.29,,,,
,perbromates; iodates and periodates,,,RVC40
,Sulphides;,"polysulphides, whether or not",,CTH or
28.30,,,,
,chemically defined,,,RVC40
