HS Code (HS 2012),Unnamed: 0,Unnamed: 1,Unnamed: 2,Product-
,,Product Description,,
Chapter Heading Subheading,,,,Specific Rule
,Woven,"fabrics of artificial filament yarn,",,
54.08,including,woven fabrics obtained from,,CTH
,materials of heading 54.05,,,
,CHAPTER,55: MAN-MADE STAPLE,,
55,,,,
,FIBRES,,,
55.01,Synthetic filament tow,,,CC
55.02 5502.00,Artificial filament tow,,,CC
,"Synthetic staple fibres, not carded, combed",,,
55.03,,,,CC
,or otherwise processed for spinning,,,
,"Artificial staple fibres, not carded, combed or",,,
55.04,,,,CC
,otherwise processed for spinning,,,
,Waste,"(including noils, yarn waste and",,
55.05,,,,CC
,garnetted stock) of man-made fibres,,,
,"Synthetic staple fibres, carded, combed or",,,
55.06,,,,CC
,otherwise processed for spinning,,,
,Artificial,"staple fibres, carded, combed or",,
55.07 5507.00,,,,CC
,otherwise processed for spinning,,,
,"Sewing thread of man-made staple fibres,",,,
55.08,,,,CTH
,whether or not put up for retail sale,,,
,Yarn (other than sewing thread) of synthetic,,,
55.09,,,,CTH
,"staple fibres, not put up for retail sale",,,
,Yarn (other than sewing thread) of artificial,,,
55.10,,,,CTH
,"staple fibres, not put up for retail sale",,,
,,,,CTH except
,Yarn (other,than sewing thread) of man-,,from heading
55.11,,,,
,"made staple fibres, put up for retail sale",,,55.09 or
,,,,55.10
,Woven,"fabrics of synthetic staple fibres,",,
55.12,containing,85 % or more by weight of,,CTH
,synthetic staple fibres,,,
,Woven,"fabrics of synthetic staple fibres,",,
,containing less than 85 % by weight of such,,,
55.13,,,,
,"fibres, mixed mainly or solely with cotton, of",,,
,a weight not exceeding 170 g/m2,,,
,- Unbleached or bleached,,,
,,,,CTH except
,,,,from
5513.11,"-- Of polyester staple fibres, plain weave",,,headings
,,,,55.09 to
,,,,55.11
,,,,CTH except
,,,,from
,"-- 3-thread or 4-thread twill, including cross",,,
5513.12,,,,headings
,"twill, of polyester staple fibres",,,
,,,,55.09 to
,,,,55.11
