HS Code (HS 2012),Unnamed: 0,Product-
,Product Description,
Chapter Heading Subheading,,Specific Rule
,"Oil-cake and other solid residues, whether or",
23.05 2305.00,"not ground or in the form of pellets, resulting",CC
,from the extraction of ground-nut oil,
,"Oil-cake and other solid residues, whether or",
,"not ground or in the form of pellets, resulting",
23.06,,CTH
,"from the extraction of vegetable fats or oils,",
,other than those of heading 23.04 or 23.05,
23.07 2307.00,Wine lees; argol,CC
,"Vegetable materials and vegetable waste,",
,"vegetable residues and by-products,",
23.08 2308.00,"whether or not in the form of pellets, of a kind",CTH
,"used in animal feeding, not elsewhere",
,specified or included,
,,CTH or
23.09,Preparations of a kind used in animal feeding,
,,RVC40
,CHAPTER 24: TOBACCO AND,
24,MANUFACTURED TOBACCO,
,SUBSTITUTES,
24.01,Unmanufactured tobacco; tobacco refuse,CC
,"Cigars, cheroots, cigarillos and cigarettes, of",
24.02,,CTH
,tobacco or of tobacco substitutes,
,Other manufactured tobacco and,
,manufactured tobacco substitutes;,
24.03,,CTH
,“homogenised” or “reconstituted” tobacco;,
,tobacco extracts and essences,
,SECTION V,
,MINERAL PRODUCTS,
,CHAPTER 25: SALT; SULPHUR; EARTHS,
25,"AND STONE; PLASTERING MATERIALS,",
,LIME AND CEMENT,
,Salt (including table salt and denatured salt),
,"and pure sodium chloride, whether or not in",
25.01 2501.00,,CC
,aqueous solution or containing added anti-,
,caking or free-flowing agents; sea water,
25.02 2502.00,Unroasted iron pyrites,CC
,"Sulphur of all kinds, other than sublimed",
,,CTH or
25.03 2503.00,"sulphur, precipitated sulphur and colloidal",
,,RVC40
,sulphur,
25.04,Natural graphite,CC
,"Natural sands of all kinds, whether or not",
25.05,"coloured, other than metal bearing sands of",CTH
,Chapter 26,
,"Quartz (other than natural sands); quartzite,",
25.06,,CC
,whether or not roughly trimmed or merely,
