HS Code (HS 2012),Unnamed: 0,Product-
,Product Description,
Chapter Heading Subheading,,Specific Rule
,,CTH or
96.04 9604.00,Hand sieves and hand riddles,
,,RVC40
,"Travel sets for personal toilet, sewing or shoe",CTH or
96.05 9605.00,,
,or clothes cleaning,RVC40
,"Buttons, press-fasteners, snap-fasteners",
,,CTH or
96.06,"and press-studs, button moulds and other",
,,RVC40
,parts of these articles; button blanks,
96.07,Slide fasteners and parts thereof,
,- Slide fasteners,
,,CTSH or
9607.11,-- Fitted with chain scoops of base metal,
,,RVC40
,,CTSH or
9607.19,-- Other,
,,RVC40
,,CTH or
9607.20,- Parts,
,,RVC40
,Ball point pens; felt tipped and other porous-,
,"tipped pens and markers; fountain pens,",
,stylograph pens and other pens; duplicating,
,stylos; propelling or sliding pencils; pen-,CTH or
96.08,,
,"holders, pencil-holders and similar holders;",RVC40
,parts (including caps and clips) of the,
,"foregoing articles, other than those of",
,heading 96.09,
,Pencils (other than pencils of heading,
,"96.08), crayons, pencil leads, pastels,",CTH or
96.09,,
,"drawing charcoals, writing or drawing chalks",RVC40
,and tailors’ chalks,
,"Slates and boards, with writing or drawing",CTH or
96.10 9610.00,,
,"surfaces, whether or not framed",RVC40
,"Date, sealing or numbering stamps, and the",
,like (including devices for printing or,
,embossing labels) designed for operating in,CTH or
96.11 9611.00,,
,the hand; hand-operated composing sticks,RVC40
,and hand printing sets incorporating such,
,composing sticks,
,"Typewriter or similar ribbons, inked or",
,"otherwise prepared for giving impressions,",
,,CTH or
96.12,whether or not on spools or in cartridges; ink-,
,,RVC40
,"pads, whether or not inked, with or without",
,boxes,
,"Cigarette lighters and other lighters, whether",
96.13,"or not mechanical or electrical, and parts",
,thereof other than flints and wicks,
,,CTSH or
9613.10,"- Pocket lighters, gas fuelled, non-refillable",
,,RVC40
