HS Code (HS 2012),Unnamed: 0,Unnamed: 1,Product-
,,Product Description,
Chapter Heading Subheading,,,Specific Rule
,,,CTH or
2921.49,-- Other,,
,,,RVC40
,- Aromatic polyamines and their derivatives;,,
,,,
,salts thereof,,
,"-- o-,","m-, p-Phenylenediamine,",
,,,CTSH or
2921.51,"diaminotoluenes, and their derivatives; salts",,
,,,RVC40
,thereof,,
,,,CTH or
2921.59,-- Other,,
,,,RVC40
29.22,Oxygen-function amino-compounds,,
,"- Amino-alcohols,",other than those,
,containing more than one kind of oxygen,,
,"function, their ethers and esters; salts thereof",,
,,,CTH or
2922.11,-- Monoethanolamine and its salts,,
,,,RVC40
,,,CTH or
2922.12,-- Diethanolamine and its salts,,
,,,RVC40
,,,CTH or
2922.13,-- Triethanolamine and its salts,,
,,,RVC40
,,,CTH or
2922.14,-- Dextropropoxyphene (INN) and its salts,,
,,,RVC40
,,,CTH or
2922.19,-- Other,,
,,,RVC40
,"- Amino-naphthols and other amino-phenols,",,
,other than those containing more than one,,
,,,
,kind of,"oxygen function, their ethers and",
,esters; salts thereof,,
,-- Aminohydroxynaphthalenesulphonic acids,,CTH or
2922.21,,,
,and their salts,,RVC40
,,,CTH or
2922.29,-- Other,,
,,,RVC40
,"- Amino-aldehydes,",amino-ketones and,
,"amino-quinones, other than those containing",,
,,,
,more than one kind of oxygen function; salts,,
,thereof,,
,-- Amfepramone,"(INN), methadone (INN)",CTH or
2922.31,,,
,and normethadone (INN); salts thereof,,RVC40
,,,CTH or
2922.39,-- Other,,
,,,RVC40
,"- Amino-acids, other than those containing",,
,"more than one kind of oxygen function, and",,
,their esters; salts thereof,,
,,,CTH or
2922.41,-- Lysine and its esters; salts thereof,,
,,,RVC40
