HS Code (HS 2012),Unnamed: 0,Unnamed: 1,Product-
,,Product Description,
Chapter Heading Subheading,,,Specific Rule
,including,radiography or radiotherapy,
,apparatus,,
,"-- For medical, surgical, dental or veterinary",,CTSH or
9022.21,,,
,uses,,RVC40
,,,CTSH or
9022.29,-- For other uses,,
,,,RVC40
,,,CTSH or
9022.30,- X-ray tubes,,
,,,RVC40
,,,CTH or
9022.90,"- Other, including parts and accessories",,
,,,RVC40
,"Instruments,","apparatus and models,",
,designed for demonstrational purposes (for,,CTH or
90.23 9023.00,,,
,"example,","in education or exhibitions),",RVC40
,unsuitable for other uses,,
,Machines,and appliances for testing the,
,"hardness, strength, compressibility, elasticity",,
90.24,or other mechanical properties of materials,,
,"(for example, metals, wood, textiles, paper,",,
,plastics),,
,,,CTSH or
9024.10,- Machines and appliances for testing metals,,
,,,RVC40
,,,CTSH or
9024.80,- Other machines and appliances,,
,,,RVC40
,,,CTH or
9024.90,- Parts and accessories,,
,,,RVC40
,Hydrometers,and similar floating,
,"instruments,","thermometers, pyrometers,",
90.25,"barometers,",hygrometers and,
,"psychrometers, recording","or not, and any",
,combination of these instruments,,
,- Thermometers,"and pyrometers, not",
,,,
,combined with other instruments,,
,,,CTSH or
9025.11,"-- Liquid-filled, for direct reading",,
,,,RVC40
,,,CTSH or
9025.19,-- Other,,
,,,RVC40
,,,CTSH or
9025.80,- Other instruments,,
,,,RVC40
,,,CTH or
9025.90,- Parts and accessories,,
,,,RVC40
,Instruments and apparatus for measuring or,,
,"checking the flow, level, pressure or other",,
90.26,"variables of liquids or gases (for example,",,
,"flow meters, level gauges, manometers, heat",,
,"meters),",excluding instruments and,
