HS Code (HS 2012),Unnamed: 0,Unnamed: 1,Product-
,Product Description,,
Chapter Heading Subheading,,,Specific Rule
,"concentrates), derivatives thereof used",,
,"primarily as vitamins, and intermixtures of",,
,"the foregoing, whether or not in any solvent",,
,"Hormones, prostaglandins, thromboxanes",,
,"and leukotrienes, natural or reproduced by",,
,,,CTH or
29.37,synthesis; derivatives and structural,,
,,,RVC40
,"analogues thereof, including chain modified",,
,"polypeptides, used primarily as hormones",,
,"Glycosides, natural or reproduced by",,
,,,CTH or
29.38,"synthesis, and their salts, ethers, esters and",,
,,,RVC40
,other derivatives,,
,"Vegetable alkaloids, natural or reproduced",,
,,,CTH or
29.39,"by synthesis, and their salts, ethers, esters",,
,,,RVC40
,and other derivatives,,
,"Sugars, chemically pure, other than sucrose,",,
,"lactose, maltose, glucose and fructose;",,
,,,CTH or
29.40 2940.00,"sugar ethers, sugar acetals and sugar",,
,,,RVC40
,"esters, and their salts, other than products of",,
,"heading 29.37, 29.38 or 29.39",,
,,,CTH or
29.41,Antibiotics,,
,,,RVC40
,,,CTH or
29.42 2942.00,Other organic compounds,,
,,,RVC40
,CHAPTER 30: PHARMACEUTICAL,,
30,,,
,PRODUCTS,,
,Glands and other organs for organo-,,
,"therapeutic uses, dried, whether or not",,
,powdered; extracts of glands or other organs,,
,or of their secretions for organo-therapeutic,,CTH or
30.01,,,
,uses; heparin and its salts; other human or,,RVC40
,animal substances prepared for therapeutic,,
,"or prophylactic uses, not elsewhere specified",,
,or included,,
,Human blood; animal blood prepared for,,
,"therapeutic, prophylactic or diagnostic uses;",,
,"antisera, other blood fractions and",,
,"immunological products, whether or not",,CTH or
30.02,,,
,modified or obtained by means of,,RVC40
,"biotechnological processes; vaccines,",,
,"toxins, cultures of micro-organisms",,
,(excluding yeasts) and similar products,,
,Medicaments (excluding goods of heading,,
,"30.02, 30.05 or 30.06) consisting of two or",,CTH or
30.03,,,
,more constituents which have been mixed,,RVC40
,"together for therapeutic or prophylactic uses,",,
