HS Code (HS 2012),Unnamed: 0,Product-
,Product Description,
Chapter Heading Subheading,,Specific Rule
,not put up in measured doses or in forms or,
,packings for retail sale,
,Medicaments (excluding goods of heading,
,"30.02, 30.05 or 30.06) consisting of mixed or",
,unmixed products for therapeutic or,
,,CTH or
30.04,"prophylactic uses, put up in measured doses",
,,RVC40
,(including those in the form of transdermal,
,administration systems) or in forms or,
,packings for retail sale,
,"Wadding, gauze, bandages and similar",
,"articles (for example, dressings, adhesive",
,"plasters, poultices), impregnated or coated",CTH or
30.05,,
,with pharmaceutical substances or put up in,RVC40
,"forms or packings for retail sale for medical,",
,"surgical, dental or veterinary purposes",
,Pharmaceutical goods specified in Note 4 to,
30.06,,
,this Chapter,
,"- Sterile surgical catgut, similar sterile suture",
,materials (including sterile absorbable,
,surgical or dental yarns) and sterile tissue,
,adhesives for surgical wound closure; sterile,CTH or
3006.10,,
,laminaria and sterile laminaria tents; sterile,RVC40
,absorbable surgical or dental haemostatics;,
,"sterile surgical or dental adhesion barriers,",
,whether or not absorbable,
,,CTH or
3006.20,- Blood-grouping reagents,
,,RVC40
,- Opacifying preparations for X-ray,
,,CTH or
3006.30,examinations; diagnostic reagents designed,
,,RVC40
,to be administered to the patient,
,- Dental cements and other dental fillings;,CTH or
3006.40,,
,bone reconstruction cements,RVC40
,,CTH or
3006.50,- First-aid boxes and kits,
,,RVC40
,- Chemical contraceptive preparations based,
,,CTH or
3006.60,"on hormones, on other products of heading",
,,RVC40
,29.37 or on spermicides,
,- Gel preparations designed to be used in,
,human or veterinary medicine as a lubricant,
,for parts of the body for surgical operations,CTH or
3006.70,,
,or physical examinations or as a coupling,RVC40
,agent between the body and medical,
,instruments,
,- Other,
