HS Code (HS 2012),Unnamed: 0,Unnamed: 1,Unnamed: 2,Product-
,Product Description,,,
Chapter Heading Subheading,,,,Specific Rule
,"Wrist-watches, pocket-watches and",other,,
,,,,CTH or
91.02,"watches, including stop-watches, other than",,,
,,,,RVC40
,those of heading 91.01,,,
,"Clocks with watch movements, excluding",,,CTH or
91.03,,,,
,clocks of heading 91.04,,,RVC40
,Instrument panel clocks and clocks,of a,,
,,,,CTH or
91.04 9104.00,"similar type for vehicles, aircraft, spacecraft",,,
,,,,RVC40
,or vessels,,,
,,,,CTH or
91.05,Other clocks,,,
,,,,RVC40
,Time of day recording apparatus,and,,
,"apparatus for measuring, recording",or,,
,"otherwise indicating intervals of time, with",,,CTH or
91.06,,,,
,clock or watch movement or,with,,RVC40
,"synchronous motor (for example,",time-,,
,"registers, time-recorders)",,,
,Time switches with clock or watch movement,,,CTH or
91.07 9107.00,,,,
,or with synchronous motor,,,RVC40
,"Watch movements, complete",and,,CTH or
91.08,,,,
,assembled,,,RVC40
,,,,CTH or
91.09,"Clock movements, complete and assembled",,,
,,,,RVC40
,"Complete watch or clock movements,",,,
,unassembled or partly assembled,,,
,,,,CTH or
91.10,(movement sets); incomplete watch or clock,,,
,,,,RVC40
,"movements, assembled; rough watch",or,,
,clock movements,,,
91.11,Watch cases and parts thereof,,,
,- Cases of precious metal or of metal clad,,,CTSH or
9111.10,,,,
,with precious metal,,,RVC40
,"- Cases of base metal, whether or not gold-",,,CTSH or
9111.20,,,,
,or silver-plated,,,RVC40
,,,,CTSH or
9111.80,- Other cases,,,
,,,,RVC40
,,,,CTH or
9111.90,- Parts,,,
,,,,RVC40
,Clock cases and cases of a similar type for,,,
,,,,CTH or
91.12,"other goods of this Chapter, and",parts,,
,,,,RVC40
,thereof,,,
,"Watch straps, watch bands and",watch,,CTH or
91.13,,,,
,"bracelets, and parts thereof",,,RVC40
,,,,CTH or
91.14,Other clock or watch parts,,,
,,,,RVC40
