HS Code (HS 2012),Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Product-
,,Product Description,,,
Chapter Heading Subheading,,,,,Specific Rule
,--,Incorporating a refrigerating unit and,a,,
,,,,,CTSH or
8415.81,valve for reversal of the cooling/heat cycle,,,,
,,,,,RVC40
,(reversible heat pumps),,,,
,,,,,CTSH or
8415.82,"-- Other, incorporating a refrigerating unit",,,,
,,,,,RVC40
,,,,,CTSH or
8415.83,-- Not incorporating a refrigerating unit,,,,
,,,,,RVC40
,,,,,CTH or
8415.90,- Parts,,,,
,,,,,RVC40
,"Furnace burners for liquid fuel, for pulverised",,,,
,solid,"fuel or for gas; mechanical stokers,",,,
84.16,including,"their mechanical grates,",,,
,mechanical,ash dischargers and similar,,,
,appliances,,,,
,,,,,CTSH or
8416.10,- Furnace burners for liquid fuel,,,,
,,,,,RVC40
,-,"Other furnace burners, including",,,CTSH or
8416.20,,,,,
,combination burners,,,,RVC40
,-,"Mechanical stokers, including their",,,
,,,,,CTSH or
8416.30,mechanical,"grates, mechanical ash",,,
,,,,,RVC40
,dischargers and similar appliances,,,,
,,,,,CTH or
8416.90,- Parts,,,,
,,,,,RVC40
,"Industrial or laboratory furnaces and ovens,",,,,
84.17,,,,,
,"including incinerators, non-electric",,,,
,-,"Furnaces and ovens for the roasting,",,,
,,,,,CTSH or
8417.10,melting,"or other heat-treatment of ores,",,,
,,,,,RVC40
,pyrites or of metals,,,,
,,,,,CTSH or
8417.20,"- Bakery ovens, including biscuit ovens",,,,
,,,,,RVC40
,,,,,CTSH or
8417.80,- Other,,,,
,,,,,RVC40
,,,,,CTH or
8417.90,- Parts,,,,
,,,,,RVC40
,"Refrigerators,",freezers and other,,,
,"refrigerating or freezing equipment, electric",,,,
84.18,,,,,
,or,other; heat pumps other than air,,,
,conditioning machines of heading 84.15,,,,
,"- Combined refrigerator-freezers, fitted with",,,,CTSH or
8418.10,,,,,
,separate external doors,,,,RVC40
,"- Refrigerators, household type",,,,
,,,,,CTSH or
8418.21,-- Compression-type,,,,
,,,,,RVC40
,,,,,CTSH or
8418.29,-- Other,,,,
,,,,,RVC40
