HS Code (HS 2012),Unnamed: 0,Unnamed: 1,Unnamed: 2,Product-
,,Product Description,,
Chapter Heading Subheading,,,,Specific Rule
,Chemical,"wood pulp, sulphite, other than",,CTH or
47.04,,,,
,dissolving grades,,,RVC40
,Wood pulp,obtained by a combination of,,CTH or
47.05 4705.00,,,,
,mechanical and chemical pulping processes,,,RVC40
,Pulps of,fibres derived from recovered,,
,,,,CTH or
47.06,(waste and scrap) paper or paperboard or of,,,
,,,,RVC40
,other fibrous cellulosic material,,,
,Recovered,(waste and scrap) paper or,,
47.07,,,,WO
,paperboard,,,
,CHAPTER,48: PAPER AND,,
48,PAPERBOARD;,ARTICLES OF PAPER,,
,"PULP, OF PAPER OR OF PAPERBOARD",,,
,,,,CC or
48.01 4801.00,"Newsprint, in rolls or sheets",,,
,,,,RVC40
,"Uncoated paper and paperboard, of a kind",,,
,used for,"writing, printing or other graphic",,
,"purposes, and non perforated punch-cards",,,
,,,,CC or
48.02,"and punch tape paper, in rolls or rectangular",,,
,,,,RVC40
,"(including square) sheets, of any size, other",,,
,than paper of heading 48.01 or 48.03; hand-,,,
,made paper and paperboard,,,
,"Toilet or facial tissue stock, towel or napkin",,,
,stock and similar paper of a kind used for,,,
,household,"or sanitary purposes, cellulose",,
48.03 4803.00,wadding,"and webs of cellulose fibres,",,CTH or
,"whether or not creped, crinkled, embossed,",,,RVC40
,"perforated,","surface-coloured, surface-",,
,"decorated or printed, in rolls or sheets",,,
,Uncoated,"kraft paper and paperboard, in",,
48.04,"rolls or sheets, other than that of heading",,,
,48.02 or 48.03,,,
,- Kraftliner,,,
,,,,CTH or
4804.11,-- Unbleached,,,
,,,,RVC40
,,,,CC or
4804.19,-- Other,,,
,,,,RVC40
,- Sack kraft paper,,,
,,,,CC or
4804.21,-- Unbleached,,,
,,,,RVC40
,,,,CC or
4804.29,-- Other,,,
,,,,RVC40
,- Other kraft paper and paperboard weighing,,,
,,,,
,150 g/m2 or less,,,
