HS Code (HS 2012),Unnamed: 0,Unnamed: 1,Product-
,,Product Description,
Chapter Heading Subheading,,,Specific Rule
,,,CTH or
2839.90,- Other,,
,,,RVC40
28.40,Borates; peroxoborates (perborates),,
,- Disodium tetraborate (refined borax),,
,,,CTH or
2840.11,-- Anhydrous,,
,,,RVC40
,,,CTH or
2840.19,-- Other,,
,,,RVC40
,,,CTSH or
2840.20,- Other borates,,
,,,RVC40
,,,CTH or
2840.30,- Peroxoborates (perborates),,
,,,RVC40
,,,CTH or
28.41,Salts of oxometallic or peroxometallic acids,,
,,,RVC40
,Other salts of inorganic acids or peroxoacids,,
28.42,(including,aluminosilicates whether or not,
,"chemically defined), other than azides",,
,- Double,"or complex silicates, including",
,,,CTH or
2842.10,aluminosilicates whether or not chemically,,
,,,RVC40
,defined,,
,,,CTSH or
2842.90,- Other,,
,,,RVC40
,Colloidal,precious metals; inorganic or,
,organic,"compounds of precious metals,",CTH or
28.43,,,
,whether,or not chemically defined;,RVC40
,amalgams of precious metals,,
,Radioactive,chemical elements and,
,radioactive isotopes (including the fissile or,,
,,,CTH or
28.44,fertile chemical elements and isotopes) and,,
,,,RVC40
,their compounds;,mixtures and residues,
,containing these products,,
,Isotopes other than those of heading 28.44;,,
,,,CTH or
28.45,"compounds, inorganic or","organic, of such",
,,,RVC40
,"isotopes, whether or not chemically defined",,
,"Compounds, inorganic or organic, of rare-",,
,,,CTH or
28.46,"earth metals, of yttrium or of scandium or of",,
,,,RVC40
,mixtures of these metals,,
,"Hydrogen peroxide, whether or not solidified",,CTH or
28.47 2847.00,,,
,with urea,,RVC40
,"Phosphides,",whether or not chemically,CTH or
28.48 2848.00,,,
,"defined, excluding ferrophosphorus",,RVC40
28.49,"Carbides, whether or not chemically defined",,
,,,CTSH or
2849.10,- Of calcium,,
,,,RVC40
