HS Code (HS 2012),Unnamed: 0,Product-
,Product Description,
Chapter Heading Subheading,,Specific Rule
,"40.01 with any product of this heading, in",
,"primary forms or in plates, sheets or strip",
,Reclaimed rubber in primary forms or in,CTH or
40.03 4003.00,,
,"plates, sheets or strip",RVC40
,"Waste, parings and scrap of rubber (other",
40.04 4004.00,than hard rubber) and powders and granules,CTH
,obtained therefrom,
,"Compounded rubber, unvulcanised, in",CTH or
40.05,,
,"primary forms or in plates, sheets or strip",RVC40
,"Other forms (for example, rods, tubes and",
,,CTH or
40.06,"profile shapes) and articles (for example,",
,,RVC40
,"discs and rings), of unvulcanised rubber",
,,CTH or
40.07 4007.00,Vulcanised rubber thread and cord,
,,RVC40
,"Plates, sheets, strip, rods and profile shapes,",CTH or
40.08,,
,of vulcanised rubber other than hard rubber,RVC40
,"Tubes, pipes and hoses, of vulcanised",
,"rubber other than hard rubber, with or without",CTH or
40.09,,
,"their fittings (for example, joints, elbows,",RVC40
,flanges),
,"Conveyor or transmission belts or belting, of",CTH or
40.10,,
,vulcanised rubber,RVC40
,,CTH or
40.11,"New pneumatic tyres, of rubber",
,,RVC40
,Retreaded or used pneumatic tyres of,
,,CTH or
40.12,"rubber; solid or cushion tyres, tyre treads and",
,,RVC40
,"tyre flaps, of rubber",
,,CTH or
40.13,"Inner tubes, of rubber",
,,RVC40
,Hygienic or pharmaceutical articles,
,"(including teats), of vulcanised rubber other",CTH or
40.14,,
,"than hard rubber, with or without fittings of",RVC40
,hard rubber,
,Articles of apparel and clothing accessories,
,"(including gloves, mittens and mitts), for all",CTH or
40.15,,
,"purposes, of vulcanised rubber other than",RVC40
,hard rubber,
,Other articles of vulcanised rubber other than,CTH or
40.16,,
,hard rubber,RVC40
,"Hard rubber (for example, ebonite) in all",
,,CTH or
40.17 4017.00,"forms, including waste and scrap; articles of",
,,RVC40
,hard rubber,
,SECTION VIII,
