HS Code (HS 2012),Unnamed: 0,Product-
,Product Description,
Chapter Heading Subheading,,Specific Rule
,"starches); glues based on starches, or on",
,dextrins or other modified starches,
,,CTH or
3505.10,- Dextrins and other modified starches,
,,RVC40
,,CTSH or
3505.20,- Glues,
,,RVC40
,Prepared glues and other prepared,
,"adhesives, not elsewhere specified or",
,included; products suitable for use as glues,CTH or
35.06,,
,"or adhesives, put up for retail sale as glues",RVC40
,"or adhesives, not exceeding a net weight of",
,1 kg,
,Enzymes; prepared enzymes not elsewhere,CTH or
35.07,,
,specified or included,RVC40
,CHAPTER 36: EXPLOSIVES;,
,PYROTECHNIC PRODUCTS; MATCHES;,CTH or
36,,
,PYROPHORIC ALLOYS; CERTAIN,RVC40
,COMBUSTIBLE PREPARATIONS,
,CHAPTER 37: PHOTOGRAPHIC OR,CTH or
37,,
,CINEMATOGRAPHIC GOODS,RVC40
,CHAPTER 38: MISCELLANEOUS,
38,,
,CHEMICAL PRODUCTS,
,Artificial graphite; colloidal or semi-colloidal,
,graphite; preparations based on graphite or,CTH or
38.01,,
,"other carbon in the form of pastes, blocks,",RVC40
,plates or other semi-manufactures,
,Activated carbon; activated natural mineral,
,,CTH or
38.02,"products; animal black, including spent",
,,RVC40
,animal black,
,,CTH or
38.03 3803.00,"Tall oil, whether or not refined",
,,RVC40
,Residual lyes from the manufacture of wood,
,"pulp, whether or not concentrated,",
,,CTH or
38.04 3804.00,"desugared or chemically treated, including",
,,RVC40
,"lignin sulphonates, but excluding tall oil of",
,heading 38.03,
,"Gum, wood or sulphate turpentine and other",
,terpenic oils produced by the distillation or,
,other treatment of coniferous woods; crude,CTH or
38.05,,
,dipentene; sulphite turpentine and other,RVC40
,crude para-cymene; pine oil containing,
,alpha-terpineol as the main constituent,
,"Rosin and resin acids, and derivatives",CTH or
38.06,,
,thereof; rosin spirit and rosin oils; run gums,RVC40
