HS Code (HS 2012),Unnamed: 0,Product-
,Product Description,
Chapter Heading Subheading,,Specific Rule
,"not heat-treated; macadam of slag, dross or",
,"similar industrial waste, whether or not",
,incorporating the materials cited in the first,
,part of the heading; tarred macadam;,
,"granules, chippings and powder, of stones of",
,"heading 25.15 or 25.16, whether or not heat-",
,treated,
,"Dolomite, whether or not calcined or",
,"sintered, including dolomite roughly trimmed",
25.18,"or merely cut, by sawing or otherwise, into",CTH
,blocks or slabs of a rectangular (including,
,square) shape; dolomite ramming mix,
,Natural magnesium carbonate (magnesite);,
,fused magnesia; dead-burned (sintered),
,"magnesia, whether or not containing small",
25.19,,CTH
,quantities of other oxides added before,
,"sintering; other magnesium oxide, whether",
,or not pure,
,Gypsum; anhydrite; plasters (consisting of,
,calcined gypsum or calcium sulphate),
25.20,,CTH
,"whether or not coloured, with or without small",
,quantities of accelerators or retarders,
,Limestone flux; limestone and other,
25.21 2521.00,"calcareous stone, of a kind used for the",CTH
,manufacture of lime or cement,
,"Quicklime, slaked lime and hydraulic lime,",
25.22,other than calcium oxide and hydroxide of,CTH
,heading 28.25,
,"Portland cement, aluminous cement, slag",
,"cement, supersulphate cement and similar",
25.23,,CTH
,"hydraulic cements, whether or not coloured",
,or in the form of clinkers,
25.24,Asbestos,CTH
25.25,"Mica, including splittings; mica waste",CTH
,"Natural steatite, whether or not roughly",
,"trimmed or merely cut, by sawing or",
25.26,,CTH
,"otherwise, into blocks or slabs of a",
,rectangular (including square) shape; talc,
,Natural borates and concentrates thereof,
,"(whether or not calcined), but not including",
25.28 2528.00,borates separated from natural brine; natural,CTH
,boric acid containing not more than 85 % of,
,H3BO3 calculated on the dry weight,
,"Feldspar; leucite, nepheline and nepheline",
25.29,,CTH
,syenite; fluorspar,
