HS Code (HS 2012),Unnamed: 0,Product-
,Product Description,
Chapter Heading Subheading,,Specific Rule
,,CTH or
28.31,Dithionites and sulphoxylates,
,,RVC40
,,CTH or
28.32,Sulphites; thiosulphates,
,,RVC40
,Sulphates; alums; peroxosulphates,
28.33,,
,(persulphates),
,- Sodium sulphates,
,,CTH or
2833.11,-- Disodium sulphate,
,,RVC40
,,CTSH or
2833.19,-- Other,
,,RVC40
,- Other sulphates,
,,CTH or
2833.21,-- Of magnesium,
,,RVC40
,,CTH or
2833.22,-- Of aluminium,
,,RVC40
,,CTH or
2833.24,-- Of nickel,
,,RVC40
,,CTH or
2833.25,-- Of copper,
,,RVC40
,,CTH or
2833.27,-- Of barium,
,,RVC40
,,CTH or
2833.29,-- Other,
,,RVC40
,,CTH or
2833.30,- Alums,
,,RVC40
,,CTH or
2833.40,- Peroxosulphates (persulphates),
,,RVC40
28.34,Nitrites; nitrates,
,,CTSH or
2834.10,- Nitrites,
,,RVC40
,- Nitrates,
,,CTSH or
2834.21,-- Of potassium,
,,RVC40
,,CTH or
2834.29,-- Other,
,,RVC40
,"Phosphinates (hypophosphites),",
,phosphonates (phosphites) and phosphates;,
28.35,,
,"polyphosphates, whether or not chemically",
,defined,
,- Phosphinates (hypophosphites) and,CTSH or
2835.10,,
,phosphonates (phosphites),RVC40
,- Phosphates,
