HS Code (HS 2012),Unnamed: 0,Product-
,Product Description,
Chapter Heading Subheading,,Specific Rule
,,CTH or
3006.91,-- Appliances identifiable for ostomy use,
,,RVC40
3006.92,-- Waste pharmaceuticals,WO
31,CHAPTER 31: FERTILISERS,
,"Animal or vegetable fertilisers, whether or",
,not mixed together or chemically treated;,CTH or
31.01 3101.00,,
,fertilisers produced by the mixing or chemical,RVC40
,treatment of animal or vegetable products,
,,CTH or
31.02,"Mineral or chemical fertilisers, nitrogenous",
,,RVC40
,,CTH or
31.03,"Mineral or chemical fertilisers, phosphatic",
,,RVC40
,,CTH or
31.04,"Mineral or chemical fertilisers, potassic",
,,RVC40
,,CTH except
,Mineral or chemical fertilisers containing two,
,,from
,"or three of the fertilising elements nitrogen,",
,,headings
,phosphorus and potassium; other fertilisers;,
31.05,,31.02 to
,goods of this Chapter in tablets or similar,
,,"31.04, or"
,forms or in packages of a gross weight not,
,exceeding 10 kg,RVC40
,CHAPTER 32: TANNING OR DYEING,
,EXTRACTS; TANNINS AND THEIR,
,"DERIVATIVES; DYES, PIGMENTS AND",
32,,
,OTHER COLOURING MATTER; PAINTS,
,AND VARNISHES; PUTTY AND OTHER,
,MASTICS; INKS,
,Tanning extracts of vegetable origin; tannins,
,,CTH or
32.01,"and their salts, ethers, esters and other",
,,RVC40
,derivatives,
,Synthetic organic tanning substances;,
,inorganic tanning substances; tanning,
32.02,"preparations, whether or not containing",
,natural tanning substances; enzymatic,
,preparations for pre-tanning,
,,CTH or
3202.10,- Synthetic organic tanning substances,
,,RVC40
,,CTSH or
3202.90,- Other,
,,RVC40
,Colouring matter of vegetable or animal,
,origin (including dyeing extracts but,
,"excluding animal black), whether or not",CTH or
32.03 3203.00,,
,chemically defined; preparations as specified,RVC40
,in Note 3 to this Chapter based on colouring,
,matter of vegetable or animal origin,
