HS Code (HS 2012),Unnamed: 0,Product-
,Product Description,
Chapter Heading Subheading,,Specific Rule
,"Reaction initiators, reaction accelerators and",
,,CTH or
38.15,"catalytic preparations, not elsewhere",
,,RVC40
,specified or included,
,"Refractory cements, mortars, concretes and",
,,CTH or
38.16 3816.00,"similar compositions, other than products of",
,,RVC40
,heading 38.01,
,Mixed alkylbenzenes and mixed,
,,CTH or
38.17 3817.00,"alkylnaphthalenes, other than those of",
,,RVC40
,heading 27.07 or 29.02,
,Chemical elements doped for use in,
,"electronics, in the form of discs, wafers or",CTH or
38.18 3818.00,,
,similar forms; chemical compounds doped,RVC40
,for use in electronics,
,Hydraulic brake fluids and other prepared,
,"liquids for hydraulic transmission, not",
,,
,containing or containing less than 70 % by,CTH or
38.19 3819.00,,
,weight of petroleum oils or oils obtained from,RVC40
,bituminous minerals,
,Anti-freezing preparations and prepared de-,CTH or
38.20 3820.00,,
,icing fluids,RVC40
,Prepared culture media for the development,
,or maintenance of micro-organisms,CTH or
38.21 3821.00,,
,"(including viruses and the like) or of plant,",RVC40
,human or animal cells,
,Diagnostic or laboratory reagents on a,
,"backing, prepared diagnostic or laboratory",
,,CTH or
38.22 3822.00,"reagents whether or not on a backing, other",
,,RVC40
,than those of heading 30.02 or 30.06;,
,certified reference materials,
,Industrial monocarboxylic fatty acids; acid,CTH or
38.23,,
,oils from refining; industrial fatty alcohols,RVC40
,Prepared binders for foundry moulds or,
,cores; chemical products and preparations of,
,,"CTH,"
,the chemical or allied industries (including,
38.24,,"RVC40, or"
,those consisting of mixtures of natural,
,,CR
,"products), not elsewhere specified or",
,included,
,Residual products of the chemical or allied,
,"industries, not elsewhere specified or",
38.25,included; municipal waste; sewage sludge;,WO
,other wastes specified in Note 6 to this,
,Chapter,
,"Biodiesel and mixtures thereof, not",CTH or
38.26 3826.00,,
,containing or containing less than 70 % by,RVC40
