HS Code (HS 2012),Unnamed: 0,Unnamed: 1,Product-
,,Product Description,
Chapter Heading Subheading,,,Specific Rule
1202.30,- Seed,,WO
,- Other,,
1202.41,-- In shell,,WO
1202.42,"-- Shelled, whether or not broken",,CC
12.03 1203.00,Copra,,WO
12.04 1204.00,"Linseed, whether or not broken",,CC
12.05,"Rape or colza seeds, whether or not broken",,WO
12.06 1206.00,"Sunflower seeds, whether or not broken",,CC
,Other oil,"seeds and oleaginous fruits,",
12.07,,,WO
,whether or not broken,,
,Flours and meals of oil seeds or oleaginous,,
12.08,,,CTH
,"fruits, other than those of mustard",,
,"Seeds, fruit and spores, of a kind used for",,
12.09,,,CC
,sowing,,
,"Hop cones, fresh or dried, whether or not",,
12.10,"ground, powdered or in the form of pellets;",,CC
,lupulin,,
,Plants and parts of plants (including seeds,,
,"and fruits),",of a kind used primarily in,
12.11,"perfumery, in pharmacy or for insecticidal,",,
,"fungicidal or similar purposes, fresh or dried,",,
,"whether or not cut, crushed or powdered",,
1211.20,- Ginseng roots,,WO
1211.30,- Coca leaf,,WO
1211.40,- Poppy straw,,WO
1211.90,- Other,,CC
,"Locust beans, seaweeds and other algae,",,
,"sugar beet and sugar cane, fresh, chilled,",,
,"frozen or dried, whether or not ground; fruit",,
,stones and,kernels and other vegetable,
12.12,products (including unroasted chicory roots,,CC
,of the variety Cichorium intybus sativum) of,,
,a kind,used primarily for human,
,"consumption,",not elsewhere specified or,
,included,,
,Cereal straw,"and husks, unprepared,",
12.13 1213.00,"whether or not chopped, ground, pressed or",,CC
,in the form of pellets,,
,"Swedes,","mangolds, fodder roots, hay,",
,"lucerne (alfalfa), clover, sainfoin, forage kale,",,
12.14,,,CC
,"lupines, vetches and similar forage products,",,
,whether or not in the form of pellets,,
