HS Code (HS 2012),Unnamed: 0,Product-
,Product Description,
Chapter Heading Subheading,,Specific Rule
,,CTH except
,,from heading
4601.29 -- Other,,
,,"14.01, or"
,,RVC40
- Other,,
,,CTH or
4601.92 -- Of bamboo,,
,,RVC40
,,CTH or
4601.93 -- Of rattan,,
,,RVC40
,,CTH except
,,from heading
4601.94 -- Of other vegetable materials,,
,,"14.01, or"
,,RVC40
,,CTH or
4601.99 -- Other,,
,,RVC40
"Basketwork, wickerwork and other articles,",,
made directly,to shape from plaiting,
46.02,,
materials or made up from goods of heading,,
46.01; articles of loofah,,
- Of vegetable materials,,
,,CTH or
4602.11 -- Of bamboo,,
,,RVC40
,,CTH or
4602.12 -- Of rattan,,
,,RVC40
,,CTH except
,,from heading
4602.19 -- Other,,
,,"14.01, or"
,,RVC40
,,CTH or
4602.90 - Other,,
,,RVC40
,SECTION X,
PULP OF WOOD OR OF OTHER FIBROUS CELLULOSIC MATERIAL;,,
RECOVERED (WASTE AND SCRAP) PAPER OR PAPERBOARD;,,
PAPER AND PAPERBOARD AND ARTICLES THEREOF,,
CHAPTER 47: PULP OF WOOD OR OF,,
OTHER,FIBROUS CELLULOSIC,
47,,
MATERIAL;,RECOVERED (WASTE AND,
SCRAP) PAPER OR PAPERBOARD,,
,,CTH or
47.01 4701.00 Mechanical wood pulp,,
,,RVC40
,,CTH or
"47.02 4702.00 Chemical wood pulp, dissolving grades",,
,,RVC40
"Chemical wood pulp, soda or sulphate, other",,CTH or
47.03,,
than dissolving grades,,RVC40
