HS Code (HS 2012),Unnamed: 0,Product-
,Product Description,
Chapter Heading Subheading,,Specific Rule
,"Acetals and hemiacetals, whether or not with",
,"other oxygen function, and their",CTH or
29.11 2911.00,,
,"halogenated, sulphonated, nitrated or",RVC40
,nitrosated derivatives,
,"Aldehydes, whether or not with other oxygen",
,,CTH or
29.12,function; cyclic polymers of aldehydes;,
,,RVC40
,paraformaldehyde,
,"Halogenated, sulphonated, nitrated or",
,,CTH or
29.13 2913.00,nitrosated derivatives of products of heading,
,,RVC40
,29.12,
,"Ketones and quinones, whether or not with",
,,"CTH,"
,"other oxygen function, and their",
29.14,,"RVC40, or"
,"halogenated, sulphonated, nitrated or",
,,CR
,nitrosated derivatives,
,Saturated acyclic monocarboxylic acids and,
,"their anhydrides, halides, peroxides and",
29.15,"peroxyacids; their halogenated,",
,"sulphonated, nitrated or nitrosated",
,derivatives,
,"- Formic acid, its salts and esters",
,,CTH or
2915.11,-- Formic acid,
,,RVC40
,,CTH or
2915.12,-- Salts of formic acid,
,,RVC40
,,CTH or
2915.13,-- Esters of formic acid,
,,RVC40
,- Acetic acid and its salts; acetic anhydride,
,,CTSH or
2915.21,-- Acetic acid,
,,RVC40
,,CTH or
2915.24,-- Acetic anhydride,
,,RVC40
,,CTH or
2915.29,-- Other,
,,RVC40
,- Esters of acetic acid,
,,CTSH or
2915.31,-- Ethyl acetate,
,,RVC40
,,CTSH or
2915.32,-- Vinyl acetate,
,,RVC40
,,CTH or
2915.33,-- n-Butyl acetate,
,,RVC40
,,CTH or
2915.36,-- Dinoseb (ISO) acetate,
,,RVC40
,,CTSH or
2915.39,-- Other,
,,RVC40
