HS Code (HS 2012),Unnamed: 0,Unnamed: 1,Product-
,Product Description,,
Chapter Heading Subheading,,,Specific Rule
,Ion-exchangers based on polymers of,,CTH or
39.14 3914.00,,,
,"headings 39.01 to 39.13, in primary forms",,RVC40
39.15,"Waste, parings and scrap, of plastics",,CTH
,Monofilament of which any cross-sectional,,
,"dimension exceeds 1 mm, rods, sticks and",,CTH or
39.16,,,
,"profile shapes, whether or not surface-",,RVC40
,"worked but not otherwise worked, of plastics",,
,"Tubes, pipes and hoses, and fittings therefor",,
,,,CTH or
39.17,"(for example, joints, elbows, flanges), of",,
,,,RVC40
,plastics,,
,"Floor coverings of plastics, whether or not",,
,"self-adhesive, in rolls or in the form of tiles;",,CTH or
39.18,,,
,"wall or ceiling coverings of plastics, as",,RVC40
,defined in Note 9 to this Chapter,,
,"Self-adhesive plates, sheets, film, foil, tape,",,
,,,CTH or
39.19,"strip and other flat shapes, of plastics,",,
,,,RVC40
,whether or not in rolls,,
,"Other plates, sheets, film, foil and strip, of",,
,"plastics, non-cellular and not reinforced,",,CTH or
39.20,,,
,"laminated, supported or similarly combined",,RVC40
,with other materials,,
,"Other plates, sheets, film, foil and strip, of",,CTH or
39.21,,,
,plastics,,RVC40
,"Baths, shower-baths, sinks, wash-basins,",,
,"bidets, lavatory pans, seats and covers,",,CTH or
39.22,,,
,"flushing cisterns and similar sanitary ware, of",,RVC40
,plastics,,
,Articles for the conveyance or packing of,,
,,,CTH or
39.23,"goods, of plastics; stoppers, lids, caps and",,
,,,RVC40
,"other closures, of plastics",,
,"Tableware, kitchenware, other household",,
,,,CTH or
39.24,"articles and hygienic or toilet articles, of",,
,,,RVC40
,plastics,,
,"Builders’ ware of plastics, not elsewhere",,CTH or
39.25,,,
,specified or included,,RVC40
,Other articles of plastics and articles of other,,CTH or
39.26,,,
,materials of headings 39.01 to 39.14,,RVC40
,CHAPTER 40: RUBBER AND ARTICLES,,
40,,,
,THEREOF,,
,"Natural rubber, balata, gutta-percha,",,
40.01,"guayule, chicle and similar natural gums, in",,CC
,"primary forms or in plates, sheets or strip",,
,Synthetic rubber and factice derived from,,
,,,CTH or
40.02,"oils, in primary forms or in plates, sheets or",,
,,,RVC40
,strip; mixtures of any product of heading,,
