HS Code (HS 2012),Unnamed: 0,Unnamed: 1,Product-
,Product Description,,
Chapter Heading Subheading,,,Specific Rule
,,,CTH or
2933.79,-- Other lactams,,
,,,RVC40
,- Other,,
,"-- Alprazolam (INN), camazepam (INN),",,
,"chlordiazepoxide (INN), clonazepam (INN),",,
,"clorazepate, delorazepam (INN), diazepam",,
,"(INN), estazolam (INN), ethyl loflazepate",,
,"(INN), fludiazepam (INN), flunitrazepam",,
,"(INN), flurazepam (INN), halazepam (INN),",,
,"lorazepam (INN), lormetazepam (INN),",,CTH or
2933.91,,,
,"mazindol (INN), medazepam (INN),",,RVC40
,"midazolam (INN), nimetazepam (INN),",,
,"nitrazepam (INN), nordazepam (INN),",,
,"oxazepam (INN), pinazepam (INN),",,
,"prazepam (INN), pyrovalerone (INN),",,
,"temazepam (INN), tetrazepam (INN) and",,
,triazolam (INN); salts thereof,,
,,,CTSH or
2933.99,-- Other,,
,,,RVC40
,"Nucleic acids and their salts, whether or not",,
29.34,chemically defined; other heterocyclic,,
,compounds,,
,- Compounds containing an unfused thiazole,,
,,,CTH or
2934.10,ring (whether or not hydrogenated) in the,,
,,,RVC40
,structure,,
,- Compounds containing in the structure a,,
,,,CTSH or
2934.20,benzothiazole ring-system (whether or not,,
,,,RVC40
,"hydrogenated), not further fused",,
,- Compounds containing in the structure a,,
,,,CTH or
2934.30,phenothiazine ring-system (whether or not,,
,,,RVC40
,"hydrogenated), not further fused",,
,- Other,,
,"-- Aminorex (INN), brotizolam (INN),",,
,"clotiazepam (INN), cloxazolam (INN),",,
,"dextromoramide (INN), haloxazolam (INN),",,
,,,CTH or
2934.91,"ketazolam (INN), mesocarb (INN), oxazolam",,
,,,RVC40
,"(INN), pemoline (INN), phendimetrazine",,
,"(INN), phenmetrazine (INN) and sufentanil",,
,(INN); salts thereof,,
,,,CTH or
2934.99,-- Other,,
,,,RVC40
,,,CTH or
29.35 2935.00,Sulphonamides,,
,,,RVC40
,"Provitamins and vitamins, natural or",,CTSH or
29.36,,,
,reproduced by synthesis (including natural,,RVC40
