HS Code (HS 2012),Unnamed: 0,Unnamed: 1,Product-
,Product Description,,
Chapter Heading Subheading,,,Specific Rule
,CHAPTER 19: PREPARATIONS OF,,
19,"CEREALS, FLOUR, STARCH OR MILK;",,
,PASTRYCOOKS’ PRODUCTS,,
,"Malt extract; food preparations of flour,",,
,"groats, meal, starch or malt extract, not",,
,containing cocoa or containing less than,,
,40 % by weight of cocoa calculated on a,,
,"totally defatted basis, not elsewhere",,
19.01,specified or included; food preparations of,,CC
,"goods of headings 04.01 to 04.04, not",,
,containing cocoa or containing less than 5 %,,
,by weight of cocoa calculated on a totally,,
,"defatted basis, not elsewhere specified or",,
,included,,
,"Pasta, whether or not cooked or stuffed (with",,
,meat or other substances) or otherwise,,
,"prepared, such as spaghetti, macaroni,",,
19.02,,,CC
,"noodles, lasagne, gnocchi, ravioli,",,
,"cannelloni; couscous, whether or not",,
,prepared,,
,Tapioca and substitutes therefor prepared,,
19.03 1903.00,"from starch, in the form of flakes, grains,",,CC
,"pearls, siftings or in similar forms",,
,Prepared foods obtained by the swelling or,,
,roasting of cereals or cereal products (for,,
,"example, corn flakes); cereals (other than",,
,maize (corn)) in grain form or in the form of,,
19.04,,,CC
,"flakes or other worked grains (except flour,",,
,"groats and meal), pre-cooked or otherwise",,
,"prepared, not elsewhere specified or",,
,included,,
,"Bread, pastry, cakes, biscuits and other",,
,"bakers’ wares, whether or not containing",,
,"cocoa; communion wafers, empty cachets of",,CTH or
19.05,,,
,"a kind suitable for pharmaceutical use,",,RVC40
,"sealing wafers, rice paper and similar",,
,products,,
,CHAPTER 20: PREPARATIONS OF,,
20,"VEGETABLES, FRUIT, NUTS OR OTHER",,
,PARTS OF PLANTS,,
,"Vegetables, fruit, nuts and other edible parts",,
20.01,"of plants, prepared or preserved by vinegar",,CC
,or acetic acid,,
,Tomatoes prepared or preserved otherwise,,
20.02,,,CC
,than by vinegar or acetic acid,,
