HS Code (HS 2012),Unnamed: 0,Product-
,Product Description,
Chapter Heading Subheading,,Specific Rule
,"phencyclidine (INN) (PCP), phenoperidine",
,"(INN), pipradrol (INN), piritramide (INN),",
,propiram (INN) and trimeperidine (INN); salts,
,thereof,
,,CTSH or
2933.39,-- Other,
,,RVC40
,- Compounds containing in the structure a,
,quinoline or isoquinoline ring-system,
,,
,"(whether or not hydrogenated), not further",
,fused,
,,CTH or
2933.41,-- Levorphanol (INN) and its salts,
,,RVC40
,,CTH or
2933.49,-- Other,
,,RVC40
,- Compounds containing a pyrimidine ring,
,(whether or not hydrogenated) or piperazine,
,ring in the structure,
,,CTH or
2933.52,-- Malonylurea (barbituric acid) and its salts,
,,RVC40
,"-- Allobarbital (INN), amobarbital (INN),",
,"barbital (INN), butalbital (INN), butobarbital,",
,"cyclobarbital (INN), methylphenobarbital",CTH or
2933.53,,
,"(INN), pentobarbital (INN), phenobarbital",RVC40
,"(INN), secbutabarbital (INN), secobarbital",
,(INN) and vinylbital (INN); salts thereof,
,-- Other derivatives of malonylurea,CTH or
2933.54,,
,(barbituric acid); salts thereof,RVC40
,"-- Loprazolam (INN), mecloqualone (INN),",
,,CTH or
2933.55,methaqualone (INN) and zipeprol (INN);,
,,RVC40
,salts thereof,
,,CTSH or
2933.59,-- Other,
,,RVC40
,- Compounds containing an unfused triazine,
,ring (whether or not hydrogenated) in the,
,structure,
,,CTH or
2933.61,-- Melamine,
,,RVC40
,,CTSH or
2933.69,-- Other,
,,RVC40
,- Lactams,
,,CTH or
2933.71,-- 6-Hexanelactam (epsilon-caprolactam),
,,RVC40
,,CTH or
2933.72,-- Clobazam (INN) and methyprylon (INN),
,,RVC40
