HS Code (HS 2012),Unnamed: 0,Unnamed: 1,Product-,Unnamed: 2
Product Description,,,,
Chapter Heading Subheading,,,Specific Rule,
"bituminous minerals, these oils being",the,,,
"basic constituents of the preparations, other",,,,
than those containing biodiesel and other,,,,
than waste oils,,,,
,,,CTH,or
2710.12 -- Light oils and preparations,,,,
,,,RVC40,
,,,CTH,or
2710.19 -- Other,,,,
,,,RVC40,
- Petroleum oils and oils obtained from,,,,
bituminous minerals (other than crude) and,,,,
preparations not elsewhere specified,or,,,
"included, containing by weight 70 % or more",,,CTH,or
2710.20,,,,
of petroleum oils or of oils obtained from,,,RVC40,
"bituminous minerals, these oils being",the,,,
"basic constituents of the preparations,",,,,
"containing biodiesel, other than waste oils",,,,
- Waste oils,,,,
-- Containing polychlorinated biphenyls,,,,
"2710.91 (PCBs), polychlorinated terphenyls (PCTs)",,,WO,
or polybrominated biphenyls (PBBs),,,,
2710.99 -- Other,,,WO,
Petroleum gases and other gaseous,,,,
27.11,,,CTH,
hydrocarbons,,,,
"Petroleum jelly; paraffin wax, micro-",,,,
"crystalline petroleum wax, slack wax,",,,,
"ozokerite, lignite wax, peat wax, other",,,CTH,or
27.12,,,,
"mineral waxes, and similar products",,,RVC40,
"obtained by synthesis or by other processes,",,,,
whether or not coloured,,,,
"Petroleum coke, petroleum bitumen",and,,,
27.13 other residues of petroleum oils or of oils,,,CTH,
obtained from bituminous minerals,,,,
"Bitumen and asphalt, natural; bituminous or",,,,
27.14 oil shale and tar sands; asphaltites,and,,CTH,
asphaltic rocks,,,,
Bituminous mixtures based on natural,,,,
"asphalt, on natural bitumen, on petroleum",,,,
27.15 2715.00,,,CTH,
"bitumen, on mineral tar or on mineral tar pitch",,,,
"(for example, bituminous mastics, cut-backs)",,,,
27.16 2716.00 Electrical energy (optional heading),,,CTH,
SECTION VI,,,,
PRODUCTS OF THE CHEMICAL OR ALLIED INDUSTRIES,,,,
CHAPTER 28: INORGANIC CHEMICALS;,,,,
28,,,,
ORGANIC OR INORGANIC COMPOUNDS,,,,
