HS Code (HS 2012),Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Product-
,,,Product Description,,
Chapter Heading Subheading,,,,,Specific Rule
,-,"Mono-,","di- or trichloroacetic acids, their",,CTH or
2915.40,,,,,
,salts and esters,,,,RVC40
,,,,,CTH or
2915.50,"- Propionic acid, its salts and esters",,,,
,,,,,RVC40
,"- Butanoic acids, pentanoic acids, their salts",,,,CTH or
2915.60,,,,,
,and esters,,,,RVC40
,"- Palmitic acid, stearic acid, their salts and",,,,CTSH or
2915.70,,,,,
,esters,,,,RVC40
,,,,,CTSH or
2915.90,- Other,,,,
,,,,,RVC40
,"Unsaturated acyclic monocarboxylic acids,",,,,
,cyclic,,"monocarboxylic acids, their",,
,"anhydrides,",,"halides, peroxides and",,
29.16,,,,,
,peroxyacids;,,"their halogenated,",,
,"sulphonated,",,nitrated or nitrosated,,
,derivatives,,,,
,"- Unsaturated acyclic monocarboxylic acids,",,,,
,their,"anhydrides,","halides, peroxides,",,
,peroxyacids and their derivatives,,,,
,,,,,CTH or
2916.11,-- Acrylic acid and its salts,,,,
,,,,,RVC40
,,,,,CTH or
2916.12,-- Esters of acrylic acid,,,,
,,,,,RVC40
,,,,,CTH or
2916.13,-- Methacrylic acid and its salts,,,,
,,,,,RVC40
,,,,,CTH or
2916.14,-- Esters of methacrylic acid,,,,
,,,,,RVC40
,,,,,"CTH,"
,"-- Oleic, linoleic or linolenic acids, their salts",,,,
2916.15,,,,,"RVC40, or"
,and esters,,,,
,,,,,CR
,,,,,CTH or
2916.16,-- Binapacryl (ISO),,,,
,,,,,RVC40
,,,,,CTSH or
2916.19,-- Other,,,,
,,,,,RVC40
,-,"Cyclanic,",cyclenic or cycloterpenic,,
,monocarboxylic,,"acids, their anhydrides,",,CTSH or
2916.20,,,,,
,"halides,","peroxides,",peroxyacids and their,,RVC40
,derivatives,,,,
,-,Aromatic,"monocarboxylic acids, their",,
,"anhydrides, halides, peroxides, peroxyacids",,,,
,and their derivatives,,,,
,,,,,CTH or
2916.31,"-- Benzoic acid, its salts and esters",,,,
,,,,,RVC40
,,,,,CTSH or
2916.32,-- Benzoyl peroxide and benzoyl chloride,,,,
,,,,,RVC40
