HS Code (HS 2012),Unnamed: 0,Unnamed: 1,Unnamed: 2,Product-
,,Product Description,,
Chapter Heading Subheading,,,,Specific Rule
,particles;,sawdust and wood waste and,,
,"scrap, whether or not agglomerated in logs,",,,
,"briquettes, pellets or similar forms",,,
,Wood charcoal,(including shell or nut,,CTH or
44.02,,,,
,"charcoal), whether or not agglomerated",,,RVC40
,"Wood in the rough, whether or not stripped",,,CTH or
44.03,,,,
,"of bark or sapwood, or roughly squared",,,RVC40
,Hoopwood;,"split poles; piles, pickets and",,
,stakes of,"wood, pointed but not sawn",,
,"lengthwise; wooden sticks, roughly trimmed",,,
,,,,CTH or
44.04,"but not turned, bent or otherwise worked,",,,
,,,,RVC40
,suitable for,the manufacture of walking-,,
,"sticks, umbrellas, tool handles or the like;",,,
,chipwood and the like,,,
,,,,CTH or
44.05 4405.00,Wood wool; wood flour,,,
,,,,RVC40
,Railway or tramway sleepers (cross-ties) of,,,CTH or
44.06,,,,
,wood,,,RVC40
,"Wood sawn or chipped lengthwise, sliced or",,,
,,,,CTH or
44.07,"peeled, whether or not planed, sanded or",,,
,,,,RVC40
,"end-jointed, of a thickness exceeding 6 mm",,,
,Sheets for,veneering (including those,,
,obtained,"by slicing laminated wood), for",,
,plywood or for similar laminated wood and,,,
,,,,CTH or
44.08,"other wood,","sawn lengthwise, sliced or",,
,,,,RVC40
,"peeled, whether","or not planed, sanded,",,
,spliced or,"end-jointed, of a thickness not",,
,exceeding 6 mm,,,
,Wood (including,strips and friezes for,,
,parquet,"flooring, not assembled)",,
,continuously,"shaped (tongued, grooved,",,
,,,,CTH or
44.09,"rebated,","chamfered, V-jointed, beaded,",,
,,,,RVC40
,"moulded, rounded or the like) along any of its",,,
,"edges, ends or faces, whether or not planed,",,,
,sanded or end-jointed,,,
,"Particle board, oriented strand board (OSB)",,,
,"and similar board (for example, waferboard)",,,
44.10,"of wood or other ligneous materials, whether",,,CTH
,or not agglomerated,with resins or other,,
,organic binding substances,,,
,Fibreboard,of wood or other ligneous,,
44.11,"materials, whether or not bonded with resins",,,CTH
,or other organic substances,,,
,"Plywood,",veneered panels and similar,,
44.12,,,,CTH
,laminated wood,,,
