HS Code (HS 2012),Unnamed: 0,Product-
,Product Description,
Chapter Heading Subheading,,Specific Rule
,"or otherwise worked, but not framed or fitted",
,with other materials,
,"Safety glass, consisting of toughened",CTH or
70.07,,
,(tempered) or laminated glass,RVC40
,,CTH except
,,from
,,headings
70.08 7008.00,Multiple-walled insulating units of glass,
,,70.03 to
,,"70.09, or"
,,RVC40
,"Glass mirrors, whether or not framed,",CTH or
70.09,,
,including rear-view mirrors,RVC40
,"Carboys, bottles, flasks, jars, pots, phials,",
,"ampoules and other containers, of glass, of",
,,CTH or
70.10,a kind used for the conveyance or packing of,
,,RVC40
,"goods; preserving jars of glass; stoppers, lids",
,"and other closures, of glass",
,"Glass envelopes (including bulbs and tubes),",
,"open, and glass parts thereof, without",CTH or
70.11,,
,"fittings, for electric lamps, cathode-ray tubes",RVC40
,or the like,
,"Glassware of a kind used for table, kitchen,",
,"toilet, office, indoor decoration or similar",CTH or
70.13,,
,purposes (other than that of heading 70.10,RVC40
,or 70.18),
,Signalling glassware and optical elements of,
,,CTH or
70.14 7014.00,"glass (other than those of heading 70.15),",
,,RVC40
,not optically worked,
,"Clock or watch glasses and similar glasses,",
,glasses for non-corrective or corrective,
,"spectacles, curved, bent, hollowed or the",CTH or
70.15,,
,"like, not optically worked; hollow glass",RVC40
,"spheres and their segments, for the",
,manufacture of such glasses,
,"Paving blocks, slabs, bricks, squares, tiles",
,and other articles of pressed or moulded,
,"glass, whether or not wired, of a kind used",
,for building or construction purposes; glass,
,,CTH or
70.16,"cubes and other glass smallwares, whether",
,,RVC40
,"or not on a backing, for mosaics or similar",
,decorative purposes; leaded lights and the,
,"like; multicellular or foam glass in blocks,",
,"panels, plates, shells or similar forms",
